nome_emissor_padronizado,nome_emissor_fitch,nome_emissor_moodys,nome_emissor_standard_and_poors,cnpj_emissor
BANCO COOPERATIVO SICOOB,Banco Cooperativo Sicoob S.A. - Banco Sicoob,Banco Cooperativo Sicoob S.A.,,02038232000164
BANCO COOPERATIVO SICREDI,Banco Cooperativo Sicredi S.A.,Banco Cooperativo Sicredi S.A.,Banco Cooperativo Sicredi S.A.,01181521000155
BANCO CREDIT AGRICOLE,Banco Credit Agricole Brasil S.A.,,,75647891000171
BANCO CSF,,,Banco CSF S.A.,08357240000150
BANCO DAYCOVAL,Banco Daycoval S.A.,Banco Daycoval S.A.,Banco Daycoval S.A.,62232889000190
BANCO DESENVOLVIMENTO ESPIRITO SANTO,Banco de Desenvolvimento do Espirito Santo S.A.,,,28145829000100
BANCO DESENVOLVIMENTO MINAS GERAIS,,Banco de Desenvolvimento de Minas Gerais S.A.,Banco de Desenvolvimento de Minas Gerais S.A. - BDMG,17232422000195
BANCO DIGIMAIS,Banco Digimais S.A.,,,92874270000140
BANCO ESTADO ESPIRITO SANTO,,Banco do Estado do Espirito Santo S.A. - Banestes,,
BANCO ESTADO PARA,,Banco do Estado do Pará S.A.,Banco do Estado do Para S.A.,04913711000108
BANCO ESTADO RIO GRANDE SUL,Banco do Estado do Rio Grande do Sul S.A.,Banco do Estado do Rio Grande do Sul S.A.,Banco do Estado do Rio Grande do Sul S.A.,05707792000152
BANCO ESTADO SERGIPE,Banco do Estado de Sergipe S.A.,Banco do Estado de Sergipe S.A.,,13009717000146
BANCO FATOR,,Banco Fator S.A.,,33644196000106
BANCO FIBRA,Banco Fibra S.A.,,Banco Fibra S.A.,05722758000157
BANCO GM,Banco GM S.A.,,,
BANCO GUANABARA,,Banco Guanabara S.A.,,31880826000116
BANCO HONDA,,Banco Honda S.A.,,
BANCO HSBC,,,Banco HSBC S.A.,33852567000145
BANCO INBURSA,Banco Inbursa S.A.,,,04866275000163
BANCO INDUSTRIAL,Banco Industrial do Brasil S.A.,Banco Industrial do Brasil S.A.,,31895683000116
BANCO INTER,,Banco Inter S.A.,Banco Inter S.A.,00416968000101
BANCO INVESTIMENTOS UBS,Banco De Investimentos UBS (Brasil) S.A.,,,33987793000133
BANCO J SAFRA,,Banco J Safra S.A. (Divisão Gestão de Recursos),,
