data_captura,no_entidade,link,Tipo de Rating,Rating,Data da Ação de Rating,Ação de Rating,CreditWatch/ Perspectiva,dt_captura
,Nexa Resources S.A.,https://www.fitchratings.com/entity/nexa-resources-sa-96494566,Local Currency Long Term Issuer Default Rating,BBB-,2026-04-30,Affirmed,Rating Outlook Stable,2026-06-08
,Nexa Recursos Minerais S.A.,https://www.fitchratings.com/entity/nexa-recursos-minerais-sa-97886942,National Long Term Rating,AAA(bra),2026-04-30,New Rating,Rating Outlook Stable,2026-06-08
,Somos Sistemas de Ensino S.A.,https://www.fitchratings.com/entity/somos-sistemas-de-ensino-sa-97273134,National Long Term Rating,AA+(bra),2026-04-29,Affirmed,Rating Outlook Positive,2026-06-08
,Saber Servicos Educacionais S.A.,https://www.fitchratings.com/entity/saber-servicos-educacionais-sa-96663570,National Long Term Rating,WD(bra),2026-04-29,Withdrawn,,2026-06-08
,Cogna Educacao S.A.,https://www.fitchratings.com/entity/cogna-educacao-sa-92741290,National Long Term Rating,AA+(bra),2026-04-29,Affirmed,Rating Outlook Positive,2026-06-08
,"Multiplike Financeira S.A. Sociedade De Credito, Financiamento E Investimento",https://www.fitchratings.com/entity/multiplike-financeira-sa-sociedade-de-credito-financiamento-e-investimento-97880687,National Long Term Rating,BB(bra),2026-04-29,New Rating,Rating Outlook Stable,2026-06-08
,"Multiplike Financeira S.A. Sociedade De Credito, Financiamento E Investimento",https://www.fitchratings.com/entity/multiplike-financeira-sa-sociedade-de-credito-financiamento-e-investimento-97880687,National Short Term Rating,B(bra),2026-04-29,New Rating,,2026-06-08
,Senior Sistemas S.A.,https://www.fitchratings.com/entity/senior-sistemas-sa-97810907,National Long Term Rating,AA(bra),2026-04-28,New Rating,Rating Outlook Stable,2026-06-08
,Banco Mercedes-Benz do Brasil S.A.,https://www.fitchratings.com/entity/banco-mercedes-benz-do-brasil-sa-91896832,National Short Term Rating,WD(bra),2026-04-27,Withdrawn,,2026-06-08
,Banco Mercedes-Benz do Brasil S.A.,https://www.fitchratings.com/entity/banco-mercedes-benz-do-brasil-sa-91896832,National Long Term Rating,WD(bra),2026-04-27,Withdrawn,,2026-06-08
,Light Servicos de Eletricidade S.A.,https://www.fitchratings.com/entity/light-servicos-de-eletricidade-sa-91050690,Long Term Issuer Default Rating,D,2026-04-27,Review - No Action,,2026-06-08
,Light Servicos de Eletricidade S.A.,https://www.fitchratings.com/entity/light-servicos-de-eletricidade-sa-91050690,Local Currency Long Term Issuer Default Rating,D,2026-04-27,Review - No Action,,2026-06-08
,Light Servicos de Eletricidade S.A.,https://www.fitchratings.com/entity/light-servicos-de-eletricidade-sa-91050690,National Long Term Rating,D(bra),2026-04-27,Review - No Action,,2026-06-08
,Light S.A.,https://www.fitchratings.com/entity/light-sa-91040693,Long Term Issuer Default Rating,D,2026-04-27,Review - No Action,,2026-06-08
,Light S.A.,https://www.fitchratings.com/entity/light-sa-91040693,Local Currency Long Term Issuer Default Rating,D,2026-04-27,Review - No Action,,2026-06-08
,Light S.A.,https://www.fitchratings.com/entity/light-sa-91040693,National Long Term Rating,D(bra),2026-04-27,Review - No Action,,2026-06-08
,Light Energia S.A.,https://www.fitchratings.com/entity/light-energia-sa-91019690,Long Term Issuer Default Rating,D,2026-04-27,Review - No Action,,2026-06-08
,Light Energia S.A.,https://www.fitchratings.com/entity/light-energia-sa-91019690,Local Currency Long Term Issuer Default Rating,D,2026-04-27,Review - No Action,,2026-06-08
,Light Energia S.A.,https://www.fitchratings.com/entity/light-energia-sa-91019690,National Long Term Rating,D(bra),2026-04-27,Review - No Action,,2026-06-08
,Enel Brasil S.A.,https://www.fitchratings.com/entity/enel-brasil-sa-96574575,National Long Term Rating,AA+(bra),2026-04-24,Downgrade,Rating Outlook Negative,2026-06-08
,Eletropaulo Metropolitana Eletricidade de Sao Paulo S.A.,https://www.fitchratings.com/entity/eletropaulo-metropolitana-eletricidade-de-sao-paulo-sa-80464130,National Long Term Rating,AA+(bra),2026-04-24,Downgrade,Rating Outlook Negative,2026-06-08
,Eletropaulo Metropolitana Eletricidade de Sao Paulo S.A.,https://www.fitchratings.com/entity/eletropaulo-metropolitana-eletricidade-de-sao-paulo-sa-80464130,Local Currency Long Term Issuer Default Rating,WD,2020-07-20,Withdrawn,,2026-06-08
,Eletropaulo Metropolitana Eletricidade de Sao Paulo S.A.,https://www.fitchratings.com/entity/eletropaulo-metropolitana-eletricidade-de-sao-paulo-sa-80464130,Long Term Issuer Default Rating,WD,2020-07-20,Withdrawn,,2026-06-08
,Ampla Energia e Servicos S.A.,https://www.fitchratings.com/entity/ampla-energia-e-servicos-sa-96591706,National Long Term Rating,AA+(bra),2026-04-24,Downgrade,Rating Outlook Negative,2026-06-08
,Enel Brasil S.A.,https://www.fitchratings.com/entity/enel-brasil-sa-96574575,National Long Term Rating,AA+(bra),2026-04-24,Downgrade,Rating Outlook Negative,2026-06-08
,Rede D'Or Sao Luiz S.A.,https://www.fitchratings.com/entity/rede-dor-sao-luiz-sa-96193829,Long Term Issuer Default Rating,BB+,2026-04-20,Affirmed,Rating Outlook Stable,2026-06-08
,Rede D'Or Sao Luiz S.A.,https://www.fitchratings.com/entity/rede-dor-sao-luiz-sa-96193829,National Long Term Rating,AAA(bra),2026-04-20,Affirmed,Rating Outlook Stable,2026-06-08
,Rede D'Or Sao Luiz S.A.,https://www.fitchratings.com/entity/rede-dor-sao-luiz-sa-96193829,Local Currency Long Term Issuer Default Rating,BB+,2026-04-20,Downgrade,Rating Outlook Stable,2026-06-08
,Hospital Esperanca S.A.,https://www.fitchratings.com/entity/hospital-esperanca-sa-97686959,National Long Term Rating,AAA(bra),2026-04-20,Affirmed,Rating Outlook Stable,2026-06-08
,BRB - Banco de Brasilia S.A.,https://www.fitchratings.com/entity/brb-banco-de-brasilia-sa-93215290,National Long Term Rating,WD(bra),2026-04-20,Withdrawn,,2026-06-08
,BRB - Banco de Brasilia S.A.,https://www.fitchratings.com/entity/brb-banco-de-brasilia-sa-93215290,Viability Rating,WD,2026-04-20,Withdrawn,Rating Watch Off,2026-06-08
,BRB - Banco de Brasilia S.A.,https://www.fitchratings.com/entity/brb-banco-de-brasilia-sa-93215290,Long Term Issuer Default Rating,WD,2026-04-20,Withdrawn,,2026-06-08
,BRB - Banco de Brasilia S.A.,https://www.fitchratings.com/entity/brb-banco-de-brasilia-sa-93215290,Government Support Rating,WD,2026-04-20,Withdrawn,,2026-06-08
,BRB - Banco de Brasilia S.A.,https://www.fitchratings.com/entity/brb-banco-de-brasilia-sa-93215290,National Short Term Rating,WD(bra),2026-04-20,Withdrawn,,2026-06-08
,BRB - Banco de Brasilia S.A.,https://www.fitchratings.com/entity/brb-banco-de-brasilia-sa-93215290,Local Currency Short Term Issuer Default Rating,WD,2026-04-20,Withdrawn,,2026-06-08
,BRB - Banco de Brasilia S.A.,https://www.fitchratings.com/entity/brb-banco-de-brasilia-sa-93215290,Local Currency Long Term Issuer Default Rating,WD,2026-04-20,Withdrawn,,2026-06-08
,BRB - Banco de Brasilia S.A.,https://www.fitchratings.com/entity/brb-banco-de-brasilia-sa-93215290,Short Term Issuer Default Rating,WD,2026-04-20,Withdrawn,,2026-06-08
,BRB - Banco de Brasilia S.A.,https://www.fitchratings.com/entity/brb-banco-de-brasilia-sa-93215290,Shareholder Support Rating,WD,2025-11-25,Withdrawn,,2026-06-08
,BRB - Banco de Brasilia S.A.,https://www.fitchratings.com/entity/brb-banco-de-brasilia-sa-93215290,Support Rating,WD,2022-03-11,Withdrawn,,2026-06-08
,Eurofarma Laboratorios S.A.,https://www.fitchratings.com/entity/eurofarma-laboratorios-sa-96581229,National Long Term Rating,AAA(bra),2026-04-17,Affirmed,Rating Outlook Stable,2026-06-08
,Hospital Mater Dei SA,https://www.fitchratings.com/entity/hospital-mater-dei-sa-97281888,National Long Term Rating,AA+(bra),2026-04-17,Affirmed,Rating Outlook Stable,2026-06-08
,Plural Gestao de Recursos Ltda.,https://www.fitchratings.com/entity/brasil-plural-gestao-de-recursos-ltda-91932293,Investment Management Quality Rating,Excellent,2026-04-15,Affirmed,Rating Outlook Stable,2026-06-08
,Plural Gestao de Recursos Ltda.,https://www.fitchratings.com/entity/brasil-plural-gestao-de-recursos-ltda-91932293,Asset Manager Rating,WD,2017-03-06,Withdrawn,,2026-06-08
