dt_captura,no_emissor,link
2026-09-02,Opea Securitizadora S.A. – 1ª e 2ª Séries da 420ª Emissão de CRI (Stellantis Automóveis),
2026-09-02,"Opea Securitizadora S.A. – 1ª, 2ª, 3ª e 4ª Séries da 187ª Emissão de CRIs (Risco JSL)",
2026-09-02,Paraná Banco Consignado INSS IV Fundo de Investimento em Direitos Creditórios Resp Limitada,
2026-09-02,Pine INSS II Fundo de Investimento em Direitos Creditórios Responsabilidade Limitada,
2026-09-02,Pine INSS III Fundo de Investimento em Direitos Creditorios Responsabilidade Limitada,
2026-09-02,Pine Inss Fundo De Investimento Em Direitos Creditórios Segmento Financeiro Resp Limitada,
2026-09-02,"Planeta Securitizadora S.A. - 1ª, 2ª e 3ª Séries da 29ª Emissão de CRAs",
2026-09-02,Riza Securitizadora S.A. (Nova denominação de Virgo Companhia de Securitização) - 155ª e 156ª Séries da 4ª Emissão de CRIs (Risco B3 S.A.),
2026-09-02,Riza Securitizadora S.A. (Nova denominação de Virgo Companhia de Securitização) - 1ª e 2ª Séries da 158ª Emissão de CRAs (Risco Olfar),
2026-09-02,Riza Securitizadora S.A. (Nova denominação de Virgo Companhia de Securitização) - 1ª e 2ª Séries da 34ª Emissão de CRAs (Risco GJA Indústrias),
2026-09-02,Riza Securitizadora S.A. (Nova denominação de Virgo Companhia de Securitização) - 1ª e 2ª Séries da 5ª Emissão de CRIs (Risco GJA Indústrias),
2026-09-02,Riza Securitizadora S.A. (Nova denominação de Virgo Companhia de Securitização) - 1ª e 2ª Séries da 89ª Emissão de CRIs (Risco Localiza),
2026-09-02,"Riza Securitizadora S.A. (Nova denominação de Virgo Companhia de Securitização) - 1ª, 2ª e 3ª Séries da 226ª Emissão de CRAs (Risco GJA Indústrias)",
2026-09-02,"Riza Securitizadora S.A. (Nova denominação de Virgo Companhia de Securitização) - 1ª, 2ª e 3ª Séries da 269ª Emissão de CRAs (Risco JBS)",
2026-09-02,"Riza Securitizadora S.A. (Nova denominação de Virgo Companhia de Securitização) - 1ª, 2ª, 3ª 4ª e 5ª Séries da 176ª Emissão de CRAs (Risco JBS)",
2026-09-02,"Riza Securitizadora S.A. (Nova denominação de Virgo Companhia de Securitização) - 1ª, 2ª, 3ª e 4ª Séries da 204ª Emissão de CRAs (Risco JBS)",
2026-09-02,Riza Securitizadora S.A. (Nova denominação de Virgo Companhia de Securitização) - Série Única da 171ª Emissão de CRAs (Risco GJA Indústrias),
2026-09-02,Riza Securitizadora S.A. (Nova denominação de Virgo Companhia de Securitização) - Série Única da 186ª Emissão de CRIs (Risco Einstein),
2026-09-02,Riza Securitizadora S.A. (Nova denominação de Virgo Companhia de Securitização) - Série Única da 248ª Emissão de CRIs (Risco Einstein),
2026-09-02,Riza Securitizadora S.A. (Nova denominação de Virgo Companhia de Securitização) - Série Única da 287ª Emissão de CRIs (Risco Pacaembu),
2026-09-02,Riza Securitizadora S.A. (Nova denominação de Virgo Companhia de Securitização) - Série Única da 43ª Emissão de CRAs (Risco Vibra Energia),
2026-09-02,Riza Securitizadora S.A. (Nova denominação de Virgo Companhia de Securitização) – Série Única da 22ª Emissão de CRIs (Risco Localiza),
2026-09-02,Riza Securitizadora S.A. (Nova denominação de Virgo) - 436ª e 437ª Séries da 4ª Emissão de CRIs (Risco Cia. Latino Americana de Medicamentos),
2026-09-02,Riza Securitizadora S.A. (Nova denominação de Virgo) - Série Única da 37ª Emissão de Certificados de Recebíveis Imobiliários (Risco Thopen Solar 02),
2026-09-02,Sol Agora Green ESG Fundo de Investimento em Direitos Creditórios,
2026-09-02,Sol Agora Green III ESG Fundo de Investimento em Direitos Creditórios IS Segmento Financeiro de Responsabildade Limitada,
2026-09-02,Solfacil - CRI V,
2026-09-02,Solfácil Crédito Pessoal VII Fundo de Investimento em Direitos Creditórios Responsabilidade Limitada,
2026-09-02,Soulpay Fundo de Investimento em Direitos Creditórios,
2026-09-02,TRX Securitizadora S.A. - 13ª Série da 1ª Emissão de CRIs (Risco Ambev),
